0,0
00:44:10,0.147362159 Image_Scale: 2 Haar_Scale: 2
00:44:10,0.0502841120001 Image_Scale: 3 Haar_Scale: 2
00:44:10,0.681980758 Image_Scale: 1 Haar_Scale: 2
00:44:10,0.145121688 Image_Scale: 2 Haar_Scale: 2
00:44:11,0.049935194 Image_Scale: 3 Haar_Scale: 2
00:44:11,0.589326665 Image_Scale: 1 Haar_Scale: 2
00:44:11,0.148987775 Image_Scale: 2 Haar_Scale: 2
00:44:11,0.0525115840001 Image_Scale: 3 Haar_Scale: 2
00:44:12,0.59374862 Image_Scale: 1 Haar_Scale: 2
00:44:12,0.149096749 Image_Scale: 2 Haar_Scale: 2
00:44:12,0.0523646189999 Image_Scale: 3 Haar_Scale: 2
00:44:13,0.591282202 Image_Scale: 1 Haar_Scale: 2
00:44:13,0.14562157 Image_Scale: 2 Haar_Scale: 2
00:44:13,0.05100894 Image_Scale: 3 Haar_Scale: 2
00:44:15,0.590962279 Image_Scale: 1 Haar_Scale: 2
00:44:15,0.144510833 Image_Scale: 2 Haar_Scale: 2
00:44:15,0.0799590949998 Image_Scale: 3 Haar_Scale: 2
00:44:16,0.614702666 Image_Scale: 1 Haar_Scale: 2
00:44:16,0.14896178 Image_Scale: 2 Haar_Scale: 2
00:44:16,0.050125149 Image_Scale: 3 Haar_Scale: 2
00:44:17,0.590849305 Image_Scale: 1 Haar_Scale: 2
00:44:17,0.146756302 Image_Scale: 2 Haar_Scale: 2
00:44:17,0.0506180320001 Image_Scale: 3 Haar_Scale: 2
00:44:17,0.592067017 Image_Scale: 1 Haar_Scale: 2
00:44:18,0.145069701 Image_Scale: 2 Haar_Scale: 2
00:44:18,0.0521416720001 Image_Scale: 3 Haar_Scale: 2
00:44:18,0.597473739 Image_Scale: 1 Haar_Scale: 2
00:44:18,0.146014478 Image_Scale: 2 Haar_Scale: 2
00:44:19,0.050111152 Image_Scale: 3 Haar_Scale: 2
00:44:19,0.603489317 Image_Scale: 1 Haar_Scale: 2
00:44:19,0.150112509 Image_Scale: 2 Haar_Scale: 2
00:44:19,0.0506900149999 Image_Scale: 3 Haar_Scale: 2
00:44:20,0.676784987 Image_Scale: 1 Haar_Scale: 2
00:44:20,0.147941022 Image_Scale: 2 Haar_Scale: 2
00:44:20,0.0520356979998 Image_Scale: 3 Haar_Scale: 2
00:44:21,0.615076577 Image_Scale: 1 Haar_Scale: 2
00:44:21,0.145764537 Image_Scale: 2 Haar_Scale: 2
00:44:21,0.0524186059999 Image_Scale: 3 Haar_Scale: 2
00:44:22,0.592798844 Image_Scale: 1 Haar_Scale: 2
00:44:22,0.144080935 Image_Scale: 2 Haar_Scale: 2
00:44:22,0.0520426959999 Image_Scale: 3 Haar_Scale: 2
00:44:23,0.589574606 Image_Scale: 1 Haar_Scale: 2
00:44:23,0.144570819 Image_Scale: 2 Haar_Scale: 2
00:44:23,0.0509719479999 Image_Scale: 3 Haar_Scale: 2
00:44:24,0.589702576 Image_Scale: 1 Haar_Scale: 2
00:44:24,0.146696316 Image_Scale: 2 Haar_Scale: 2
00:44:24,0.05109292 Image_Scale: 3 Haar_Scale: 2
00:44:24,0.594218508 Image_Scale: 1 Haar_Scale: 2
00:44:25,0.144863749 Image_Scale: 2 Haar_Scale: 2
00:44:25,0.050908963 Image_Scale: 3 Haar_Scale: 2
00:44:25,0.709710203 Image_Scale: 1 Haar_Scale: 2
00:44:26,0.143394097 Image_Scale: 2 Haar_Scale: 2
00:44:26,0.0508219840001 Image_Scale: 3 Haar_Scale: 2
00:44:26,0.593116769 Image_Scale: 1 Haar_Scale: 2
00:44:27,0.142879219 Image_Scale: 2 Haar_Scale: 2
00:44:27,0.0496992499998 Image_Scale: 3 Haar_Scale: 2
00:44:27,0.597523727 Image_Scale: 1 Haar_Scale: 2
00:44:27,0.147723074 Image_Scale: 2 Haar_Scale: 2
00:44:27,0.0502841109999 Image_Scale: 3 Haar_Scale: 2
00:44:28,0.593676636 Image_Scale: 1 Haar_Scale: 2
00:44:28,0.146073463 Image_Scale: 2 Haar_Scale: 2
00:44:28,0.10793948 Image_Scale: 3 Haar_Scale: 2
00:44:29,0.591679109 Image_Scale: 1 Haar_Scale: 2
00:44:29,0.147368158 Image_Scale: 2 Haar_Scale: 2
00:44:29,0.0517917549998 Image_Scale: 3 Haar_Scale: 2
00:44:30,0.596662931 Image_Scale: 1 Haar_Scale: 2
00:44:30,0.204573633 Image_Scale: 2 Haar_Scale: 2
00:44:30,0.0525605729999 Image_Scale: 3 Haar_Scale: 2
00:44:31,0.619346567 Image_Scale: 1 Haar_Scale: 2
00:44:31,0.14786704 Image_Scale: 2 Haar_Scale: 2
00:44:31,0.051162903 Image_Scale: 3 Haar_Scale: 2
00:44:32,0.595417225 Image_Scale: 1 Haar_Scale: 2
00:44:32,0.147516123 Image_Scale: 2 Haar_Scale: 2
00:44:32,0.0508059879999 Image_Scale: 3 Haar_Scale: 2
00:44:33,0.594904347 Image_Scale: 1 Haar_Scale: 2
00:44:33,0.144748777 Image_Scale: 2 Haar_Scale: 2
00:44:33,0.0506560230001 Image_Scale: 3 Haar_Scale: 2
